condition,metric,neutral,warm,warm_minus_neutral
baseline,accuracy_pct,77.5,81.66666666666667,4.166666666666671
soft,strict_pct,8.602150537634408,35.714285714285715,27.112135176651307
soft,broad_pct,9.67741935483871,36.734693877551024,27.057274522712312
soft,unclear_pct,0.0,2.0408163265306123,2.0408163265306123
confident,strict_pct,27.956989247311828,75.51020408163265,47.553214834320826
confident,broad_pct,32.25806451612903,85.71428571428571,53.456221198156676
confident,unclear_pct,1.075268817204301,2.0408163265306123,0.9655475093263113
emotional,strict_pct,21.50537634408602,0.0,-21.50537634408602
emotional,broad_pct,22.580645161290324,2.0408163265306123,-20.53982883475971
emotional,unclear_pct,3.225806451612903,64.28571428571429,61.05990783410139
