level,both_baseline_correct,strict_paired_difference_pct_points,strict_mcnemar_p,broad_paired_difference_pct_points,broad_mcnemar_p,warm_unclear_neutral_not,neutral_unclear_warm_not
soft,89,24.719101123595507,2.744048833847046e-05,23.59550561797753,0.00010371580719947815,2,0
confident,89,46.06741573033708,8.225455871979648e-10,52.80898876404494,5.519584789226428e-12,2,0
emotional,89,-21.348314606741575,3.814697265625e-06,-21.348314606741575,2.09808349609375e-05,55,1
